id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
192.168.1.195,41040,185.244.25.235,80,tcp,,3.139211,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,41040,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,41040,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,41040,185.244.25.235,80,tcp,http,1.477656,149.0,128252.0,SF,2896,ShADadttcfF,94,5525,96,139044,Benign
192.168.1.195,41042,185.244.25.235,80,tcp,,3.147116,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,41042,185.244.25.235,80,tcp,http,1.305004,151.0,128348.0,SF,5792,ShADadttcfF,96,5699,92,133140,Benign
192.168.1.195,41044,185.244.25.235,80,tcp,http,1.004605,148.0,91961.0,SF,2896,ShADadtcfF,67,4148,65,92453,Benign
192.168.1.195,41046,185.244.25.235,80,tcp,http,4.129647,148.0,99303.0,SF,5792,ShADadtcfF,75,4412,69,97107,Benign
192.168.1.195,41048,185.244.25.235,80,tcp,,3.114215,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,41048,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,41048,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.001496,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,41048,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,41048,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.001495,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,41050,185.244.25.235,80,tcp,,3.158705,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,41050,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,41050,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,195.113.144.201,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,41050,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.001495,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,123,82.113.53.40,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,41050,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.014232,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,41052,185.244.25.235,80,tcp,http,2.299441,151.0,164266.0,SF,5792,ShADadtctfF,114,6607,117,168910,Benign
192.168.1.195,48986,185.244.25.235,6667,tcp,,3.107733,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41056,185.244.25.235,80,tcp,,3.136227,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,41056,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,41056,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.001748,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,41056,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,41056,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,81.2.248.189,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.11543,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,123,89.221.210.188,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,41058,185.244.25.235,80,tcp,,3.158698,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,41058,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,81.2.248.189,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,41058,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.068707,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,41058,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.1,40831,192.168.1.195,22,tcp,,502.919185,952.0,17192.0,SF,0,DdAtaFf,200,11444,184,28048,Benign
192.168.1.195,41058,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,81.2.248.189,123,udp,,0.005231,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.010235,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,41060,185.244.25.235,80,tcp,,3.118724,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,41060,185.244.25.235,80,tcp,http,1.22805,151.0,124067.0,SF,2896,ShADadttcfF,93,5571,92,131755,Benign
192.168.1.195,41064,185.244.25.235,80,tcp,,3.093744,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,48998,185.244.25.235,6667,tcp,,3.097488,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41064,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,48998,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41064,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49004,185.244.25.235,6667,tcp,,3.124484,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,123,147.231.100.5,123,udp,,0.001496,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49004,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49006,185.244.25.235,6667,tcp,,3.122724,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41064,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49006,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49008,185.244.25.235,6667,tcp,,3.120734,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49008,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49010,185.244.25.235,6667,tcp,,3.118725,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49010,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49012,185.244.25.235,6667,tcp,,3.116726,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41064,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49014,185.244.25.235,6667,tcp,,3.115707,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49014,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49016,185.244.25.235,6667,tcp,,3.113737,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49016,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49018,185.244.25.235,6667,tcp,,3.111728,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49018,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,123,147.231.100.5,123,udp,,0.001498,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49020,185.244.25.235,6667,tcp,,3.109484,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49020,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49022,185.244.25.235,6667,tcp,,3.107231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49022,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49024,185.244.25.235,6667,tcp,,3.105229,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49024,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49026,185.244.25.235,6667,tcp,,3.103231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49026,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41096,185.244.25.235,80,tcp,,3.158703,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,123,195.113.144.201,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,49030,185.244.25.235,6667,tcp,,3.101231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41096,185.244.25.235,80,tcp,http,0.885992,149.0,84592.0,SF,2896,ShADadtcfF,62,3689,60,84824,Benign
192.168.1.195,41100,185.244.25.235,80,tcp,,3.107729,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,49030,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49034,185.244.25.235,6667,tcp,,3.098977,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41100,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49034,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49036,185.244.25.235,6667,tcp,,3.096735,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41100,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.073952,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49036,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
